graph,representation,metric,value_average,value_median
grafo_1,list,memory_mb_raw,3.59375,3.59375
grafo_1,list,memory_mb_baseline,1.375,1.375
grafo_1,list,memory_mb_graph,2.21875,2.21875
grafo_1,list,bfs_micros,628.31,571.5
grafo_1,list,dfs_micros,1027.64,999.5
grafo_1,list,bfs_parent_s1_t10,2042.0,2042.0
grafo_1,list,dfs_parent_s1_t10,709.0,709.0
grafo_1,list,bfs_parent_s1_t20,8382.0,8382.0
grafo_1,list,dfs_parent_s1_t20,666.0,666.0
grafo_1,list,bfs_parent_s1_t30,2394.0,2394.0
grafo_1,list,dfs_parent_s1_t30,86.0,86.0
grafo_1,list,bfs_parent_s2_t10,8935.0,8935.0
grafo_1,list,dfs_parent_s2_t10,709.0,709.0
grafo_1,list,bfs_parent_s2_t20,9071.0,9071.0
grafo_1,list,dfs_parent_s2_t20,666.0,666.0
grafo_1,list,bfs_parent_s2_t30,3555.0,3555.0
grafo_1,list,dfs_parent_s2_t30,86.0,86.0
grafo_1,list,bfs_parent_s3_t10,7685.0,7685.0
grafo_1,list,dfs_parent_s3_t10,709.0,709.0
grafo_1,list,bfs_parent_s3_t20,9543.0,9543.0
grafo_1,list,dfs_parent_s3_t20,666.0,666.0
grafo_1,list,bfs_parent_s3_t30,5783.0,5783.0
grafo_1,list,dfs_parent_s3_t30,86.0,86.0
grafo_1,list,distance_10_20,3.0,3.0
grafo_1,list,distance_10_30,3.0,3.0
grafo_1,list,distance_20_30,4.0,4.0
grafo_1,list,component_count,1.0,1.0
grafo_1,list,component_largest,10000.0,10000.0
grafo_1,list,component_smallest,10000.0,10000.0
grafo_1,list,diameter_approx,4.0,4.0
grafo_1,list,diameter_exact,5.0,5.0
grafo_1,matrix,memory_mb_raw,106.234375,106.234375
grafo_1,matrix,memory_mb_baseline,1.375,1.375
grafo_1,matrix,memory_mb_graph,104.859375,104.859375
grafo_1,matrix,bfs_micros,45399.6,44307.0
grafo_1,matrix,dfs_micros,45137.7,44518.5
grafo_1,matrix,bfs_parent_s1_t10,2042.0,2042.0
grafo_1,matrix,dfs_parent_s1_t10,709.0,709.0
grafo_1,matrix,bfs_parent_s1_t20,8382.0,8382.0
grafo_1,matrix,dfs_parent_s1_t20,666.0,666.0
grafo_1,matrix,bfs_parent_s1_t30,2394.0,2394.0
grafo_1,matrix,dfs_parent_s1_t30,86.0,86.0
grafo_1,matrix,bfs_parent_s2_t10,8935.0,8935.0
grafo_1,matrix,dfs_parent_s2_t10,709.0,709.0
grafo_1,matrix,bfs_parent_s2_t20,9071.0,9071.0
grafo_1,matrix,dfs_parent_s2_t20,666.0,666.0
grafo_1,matrix,bfs_parent_s2_t30,3555.0,3555.0
grafo_1,matrix,dfs_parent_s2_t30,86.0,86.0
grafo_1,matrix,bfs_parent_s3_t10,7685.0,7685.0
grafo_1,matrix,dfs_parent_s3_t10,709.0,709.0
grafo_1,matrix,bfs_parent_s3_t20,9543.0,9543.0
grafo_1,matrix,dfs_parent_s3_t20,666.0,666.0
grafo_1,matrix,bfs_parent_s3_t30,5783.0,5783.0
grafo_1,matrix,dfs_parent_s3_t30,86.0,86.0
grafo_1,matrix,distance_10_20,3.0,3.0
grafo_1,matrix,distance_10_30,3.0,3.0
grafo_1,matrix,distance_20_30,4.0,4.0
grafo_1,matrix,component_count,1.0,1.0
grafo_1,matrix,component_largest,10000.0,10000.0
grafo_1,matrix,component_smallest,10000.0,10000.0
grafo_1,matrix,diameter_approx,4.0,4.0
grafo_1,matrix,diameter_exact,5.0,5.0
grafo_2,list,memory_mb_raw,25.546875,25.546875
grafo_2,list,memory_mb_baseline,1.375,1.375
grafo_2,list,memory_mb_graph,24.171875,24.171875
grafo_2,list,bfs_micros,2102.43,3122.0
grafo_2,list,dfs_micros,4927.58,7253.0
grafo_2,list,bfs_parent_s1_t10,0.0,0.0
grafo_2,list,dfs_parent_s1_t10,0.0,0.0
grafo_2,list,bfs_parent_s1_t20,0.0,0.0
grafo_2,list,dfs_parent_s1_t20,0.0,0.0
grafo_2,list,bfs_parent_s1_t30,0.0,0.0
grafo_2,list,dfs_parent_s1_t30,0.0,0.0
grafo_2,list,bfs_parent_s2_t10,1351.0,1351.0
grafo_2,list,dfs_parent_s2_t10,3946.0,3946.0
grafo_2,list,bfs_parent_s2_t20,0.0,0.0
grafo_2,list,dfs_parent_s2_t20,0.0,0.0
grafo_2,list,bfs_parent_s2_t30,0.0,0.0
grafo_2,list,dfs_parent_s2_t30,0.0,0.0
grafo_2,list,bfs_parent_s3_t10,0.0,0.0
grafo_2,list,dfs_parent_s3_t10,0.0,0.0
grafo_2,list,bfs_parent_s3_t20,46738.0,46738.0
grafo_2,list,dfs_parent_s3_t20,217.0,217.0
grafo_2,list,bfs_parent_s3_t30,12999.0,12999.0
grafo_2,list,dfs_parent_s3_t30,3513.0,3513.0
grafo_2,list,distance_10_20,-1.0,-1.0
grafo_2,list,distance_10_30,-1.0,-1.0
grafo_2,list,distance_20_30,3.0,3.0
grafo_2,list,component_count,10.0,10.0
grafo_2,list,component_largest,25000.0,25000.0
grafo_2,list,component_smallest,48.0,48.0
grafo_2,list,diameter_approx,3.0,3.0
grafo_2,matrix,memory_mb_raw,2723.828125,2723.828125
grafo_2,matrix,memory_mb_baseline,1.375,1.375
grafo_2,matrix,memory_mb_graph,2722.453125,2722.453125
grafo_2,matrix,bfs_micros,352641.0,484834.0
grafo_2,matrix,dfs_micros,358590.0,490991.0
grafo_2,matrix,bfs_parent_s1_t10,0.0,0.0
grafo_2,matrix,dfs_parent_s1_t10,0.0,0.0
grafo_2,matrix,bfs_parent_s1_t20,0.0,0.0
grafo_2,matrix,dfs_parent_s1_t20,0.0,0.0
grafo_2,matrix,bfs_parent_s1_t30,0.0,0.0
grafo_2,matrix,dfs_parent_s1_t30,0.0,0.0
grafo_2,matrix,bfs_parent_s2_t10,1351.0,1351.0
grafo_2,matrix,dfs_parent_s2_t10,3946.0,3946.0
grafo_2,matrix,bfs_parent_s2_t20,0.0,0.0
grafo_2,matrix,dfs_parent_s2_t20,0.0,0.0
grafo_2,matrix,bfs_parent_s2_t30,0.0,0.0
grafo_2,matrix,dfs_parent_s2_t30,0.0,0.0
grafo_2,matrix,bfs_parent_s3_t10,0.0,0.0
grafo_2,matrix,dfs_parent_s3_t10,0.0,0.0
grafo_2,matrix,bfs_parent_s3_t20,46738.0,46738.0
grafo_2,matrix,dfs_parent_s3_t20,217.0,217.0
grafo_2,matrix,bfs_parent_s3_t30,12999.0,12999.0
grafo_2,matrix,dfs_parent_s3_t30,3513.0,3513.0
grafo_2,matrix,distance_10_20,-1.0,-1.0
grafo_2,matrix,distance_10_30,-1.0,-1.0
grafo_2,matrix,distance_20_30,3.0,3.0
grafo_2,matrix,component_count,10.0,10.0
grafo_2,matrix,component_largest,25000.0,25000.0
grafo_2,matrix,component_smallest,48.0,48.0
grafo_2,matrix,diameter_approx,3.0,3.0
grafo_3,matrix,skipped,1.0,1.0
grafo_3,list,memory_mb_raw,19.21875,19.21875
grafo_3,list,memory_mb_baseline,1.375,1.375
grafo_3,list,memory_mb_graph,17.84375,17.84375
grafo_3,list,bfs_micros,15870.8,15874.0
grafo_3,list,dfs_micros,19304.8,21174.0
grafo_3,list,bfs_parent_s1_t10,0.0,0.0
grafo_3,list,dfs_parent_s1_t10,0.0,0.0
grafo_3,list,bfs_parent_s1_t20,0.0,0.0
grafo_3,list,dfs_parent_s1_t20,0.0,0.0
grafo_3,list,bfs_parent_s1_t30,141597.0,141597.0
grafo_3,list,dfs_parent_s1_t30,141597.0,141597.0
grafo_3,list,bfs_parent_s2_t10,158403.0,158403.0
grafo_3,list,dfs_parent_s2_t10,192218.0,192218.0
